Tempo origine (UTC),Magnitudo,Latitudine N,Longitudine E,Profondità (km)
2013/04/05 21:55:34.75,-0.8,40.8240,14.1412,2.00,Revisionato
2013/04/09 03:55:18.27,-0.3,40.8223,14.1402,1.78,Revisionato
2013/05/12 02:41:59.50,-0.5,40.8313,14.1500,1.90,Revisionato
2014/02/15 06:00:14.26,0.1,40.8688,14.0843,7.24,Revisionato
2014/03/20 04:36:23.34,0.9,40.8260,14.1516,1.80,Revisionato
2014/03/23 22:20:32.09,-0.1,40.8313,14.1567,2.00,Revisionato
2014/03/31 23:08:0.93,-0.1,40.8313,14.1467,2.00,Revisionato
2014/03/31 23:22:7.44,0.7,40.8313,14.1408,2.00,Revisionato
2014/04/06 05:10:27.86,0.1,40.8307,14.1478,1.94,Revisionato
2014/04/06 05:31:52.92,0.1,40.8235,14.1517,1.62,Revisionato
2014/06/13 20:02:1.11,0.5,40.8223,14.1517,1.24,Revisionato
2014/06/26 09:38:18.63,0.4,40.8318,14.1665,3.12,Revisionato
2014/07/30 16:30:58.52,-0.8,40.8242,14.1423,0.64,Revisionato
2014/07/30 16:51:38.23,-0.5,40.8263,14.1413,0.78,Revisionato
2014/07/30 16:59:26.69,-0.8,40.8267,14.1432,0.45,Revisionato
2014/07/31 11:20:11.36,-0.8,40.8285,14.1422,0.74,Revisionato
2014/07/31 16:13:35.83,-0.8,40.8315,14.1387,0.92,Revisionato
2014/08/01 16:06:17.47,0.4,40.8248,14.1278,1.55,Revisionato
2014/08/01 16:53:41.70,0.2,40.8233,14.1355,2.43,Revisionato
2014/08/02 18:06:20.57,0.4,40.8227,14.1430,0.85,Revisionato
2014/08/03 15:53:18.19,-0.5,40.8222,14.1358,1.69,Revisionato
2014/08/03 16:00:27.05,0.8,40.8222,14.1358,2.00,Revisionato
2014/08/03 16:00:47.48,0.7,40.8250,14.1325,2.00,Revisionato
2014/08/04 01:35:12.96,-0.3,40.8212,14.1433,0.31,Revisionato
2014/08/04 01:36:18.19,-0.5,40.8217,14.1430,0.35,Revisionato
2014/08/07 13:48:3.39,-0.5,40.8198,14.1370,0.32,Revisionato
2014/08/07 13:48:31.75,0.2,40.8207,14.1360,2.00,Revisionato
2014/08/07 15:41:56.46,0.6,40.8207,14.1360,1.76,Revisionato
2014/08/07 23:57:20.50,0.2,40.8215,14.1365,3.64,Revisionato
2014/08/10 13:09:48.35,0.4,40.8185,14.1370,1.10,Revisionato
2014/08/10 14:24:2.27,0.6,40.8187,14.1358,1.53,Revisionato
2014/08/10 16:01:4.09,0.2,40.8207,14.1360,1.14,Revisionato
2014/08/12 22:12:54.51,0.2,40.8208,14.1517,1.46,Revisionato
2014/08/12 22:18:44.11,0.4,40.8207,14.1450,1.06,Revisionato
2014/08/30 15:51:51.66,0.1,40.8230,14.1425,0.15,Revisionato
2014/08/30 22:15:17.53,-0.1,40.8240,14.1425,0.95,Revisionato
2014/09/03 12:14:31.93,-0.3,40.8227,14.1342,1.45,Revisionato
2014/09/03 12:14:42.26,-1.0,40.8190,14.1368,1.00,Revisionato
2014/09/04 18:54:37.14,0.9,40.8220,14.1132,0.92,Revisionato
2014/09/04 18:55:3.76,1.0,40.8220,14.1165,2.00,Revisionato
2014/09/04 19:55:32.18,0.9,40.8220,14.1187,2.00,Revisionato
2014/09/04 20:44:21.42,0.7,40.8220,14.1172,1.34,Revisionato
2014/09/05 14:30:51.37,0.1,40.8212,14.1458,1.34,Revisionato
2014/09/10 03:09:29.62,0.2,40.8220,14.1222,2.00,Revisionato
2014/09/10 13:59:34.74,-0.5,40.8220,14.1315,0.93,Revisionato
2014/09/16 01:01:47.16,-0.8,40.8220,14.1312,1.35,Revisionato
2014/09/16 01:05:44.46,-1.0,40.8180,14.1347,1.54,Revisionato
2014/09/16 01:05:57.57,-0.8,40.8192,14.1322,1.33,Revisionato
2014/09/16 01:06:33.95,0.5,40.8315,14.1453,2.12,Revisionato
2014/09/16 01:21:19.78,1.0,40.8200,14.1333,1.20,Revisionato
2014/09/16 01:34:1.38,0.2,40.8232,14.1303,1.00,Revisionato
2014/09/16 01:45:12.93,1.0,40.8187,14.1358,1.58,Revisionato
2014/09/16 04:17:37.93,0.1,40.8187,14.1405,1.65,Revisionato
2014/09/16 08:30:11.04,0.4,40.8213,14.1418,0.11,Revisionato
2014/09/16 19:56:17.83,0.4,40.8248,14.1260,2.00,Revisionato
2014/09/16 21:09:31.24,0.2,40.8155,14.1653,3.20,Revisionato
2014/09/16 21:11:4.62,0.1,40.8147,14.1667,2.83,Revisionato
2014/09/19 19:48:30.91,0.9,40.8268,14.1233,2.00,Revisionato
2014/09/20 22:08:6.24,-0.1,40.8228,14.1255,2.61,Revisionato
2014/09/20 22:09:41.54,0.6,40.8207,14.1283,2.20,Revisionato
2014/09/21 07:30:4.08,-0.3,40.8213,14.1440,0.12,Revisionato
2014/09/21 07:32:38.70,0.1,40.8222,14.1432,0.06,Revisionato
2014/09/21 07:32:56.46,-0.3,40.8220,14.1402,2.00,Revisionato
2014/09/21 07:34:50.49,-0.8,40.8225,14.1422,0.68,Revisionato
2014/09/21 16:19:56.98,-0.3,40.8217,14.1448,0.56,Revisionato
2014/09/25 04:21:26.39,-0.1,40.8222,14.1443,0.14,Revisionato
2014/09/26 10:45:10.49,-0.1,40.8315,14.1350,2.08,Revisionato
